#,Years of experience,Company that you applied for,Position that you apply for,Company where you worked previously,Your last position at your last company where you worked,Skills,Intro,Why me,Experience,Why company,Outro,Quality intro,Quality why me,Quality experience,Quality why company,Quality outro,,,,Skills
1,7,Apple,Business Analyst,Google,Business Analyst,"SQL, Python, BigB, Data Visualization",,"When you think of business analysts, what comes to mind? I hope you'll think of me. I'm a seasoned Business Analyst with over 7 years of experience in the space. I would be a great fit for your company and I know I can help. With my experience, I can provide the right resources to get the job done.","After working at Google for more than seven years, I realized that there was a gap in the market for an organization that supports the growth of its customers by providing them with a high-quality and well-designed experience. I want to bring that kind of service to Apple.","Apple is my favorite company because they are known for being innovative, providing the best user experience and creating great products for their customers. Apple vision is helping people find answers, create new things, and solve hard problems. This vision drives me to become part of Apple's team and work on improving the iOS experience for your users.",,0,0.3,0.2,1,0,,,,"SQL, Python, BigB, Data Visualization"
2,7,Apple,Business Analyst,Google,Business Analyst,"SQL, Python, BigB, Data Visualization",,"Over the last 8 months, I have worked with Google’s Analytics team to improve the performance of their website and applications. This experience has given me the opportunity to understand the business problems that are being faced by the team. I use this experience to think through the business constraints and identify the best solution for each business requirement.","As the Business Analyst at Google, I help the engineering and product teams build out their data pipelines and improve the speed of their development. This includes working with our data team to define and validate data requirements, working closely with developers and other teams to ensure data-driven workflows, and supporting our engineering teams in building and running data pipelines.",Apple is my favorite company in the world and I hope to work there. They have a great culture and a great product. I really want to take part in their innovations.,,0,0.7,0.8,0.9,0,,,,"Project Planning
Leadership Skills
Client Relations
Organizational Skills
MS Visio
Jira
SQL"
3,3,Systems+,It Project manager,XConnect,Junior It Project manager,"Project Planning
Leadership Skills
Client Relations
Organizational Skills
MS Visio
Jira
SQL","I am writing to apply for the IT Project Manager position at Systems+, as advertised on Linkedin.com. I am confident that my 3 years of solid experience and diverse capabilities in project management make me an ideal candidate to successfully fulfill this position.",I was commended by my manager for demonstrating strong skills in: proactively managing important and time-sensitive projects; developing innovative solutions to critical problems; balancing stakeholder expectations with those of the company; and working collaboratively with other team members to establish an efficient and effective systems of operation.,"During my time working as a Junior IT Project Manager at XConnect, I was the second-in-charge to the Project Manager in leading a medium-sized development team. I was charged with the responsibility of helping oversee a range of critical projects from conception to delivery.
In my time at XConnect, I was noted for having achieved the following:

Executing a number of highly profitable projects with budgets over $200,000
Working with my team to manage the accounts of prestigious international brands and clients
Strong understanding of statistics, quality improvement techniques, FMEA and RCA
Successfully contributing to Q & A testing, product SOW, integration and user documentations.","Furthermore, I have strong academic background to ground my work. After completing my Bachelor of Information Technology Management at the University of Minnesota, I went on to score in the top 2% in my Master of Information Systems at the University of Maryland. I plan to draw on these methodologies at Systems+ to effectively complete project scheduling, issue tracking and resource management tasks.","I believe that the above qualities and experiences would make me a valuable addition to your company. If there is any more information you would like me to provide, please do not hesitate to contact me.

Sincerely,",1,1,1,1,1,,,,"SQL, Python, AB-test, Figma, Prototyping, Deep Learning, People management, product management"
4,4,Meta,Product Owner,Yandex,Product Manager,"SQL, Python, AB-test, Figma, Prototyping, Deep Learning, People management, product management",,"The products that we create are amazing. But they are not perfect. That’s why we need you, the Product Owner, to make sure they are the best they can be. We need you to think about the user experience and create the right product for your users.","I have 8 years of experience in software development and I have been a product owner for 2 years. I always try to do my best, to get the job done as quickly as possible and that always results in great user experience. The above cover letter is not a part of any application and is to be used only for information purposes.","Meta is a startup that is working on creating a new online platform for people with disabilities to share their stories and share their experiences. Meta's technology is based on deep learning, AI and machine learning. We are constantly innovating and improving our product.",,0,0,0,0,0,,,,"Figma, Prototyping, UX/UI, Web-design, Mobile design"
5,4,Meta,Product Owner,Yandex,Product Manager,"SQL, Python, AB-test, Figma, Prototyping, Deep Learning, People management, product management",,"Over the last 3 years at Metabot, I led product development teams, helped shape product strategy and deliver business value through the creation of unique user experiences.","I have a wide range of skills, ranging from backend development to product management. However, I prefer to focus on product management because I find it to be the most rewarding and fulfilling. I was the founder of a startup before I joined Yandex. It was very successful, and I learned much about business and product development.","Meta is an innovative startup company that designs, develops and launches blockchain-based solutions. Meta believes in the potential of blockchain technology and is committed to helping people and companies around the world manage their digital assets with privacy and safety. We believe in building a strong and sustainable community of people who are passionate about the future of blockchain.",,0,0.6,0.3,0.1,0,,,,"Figma, Prototyping, UX/UI, Web-design, Mobile design, JTBD, CustDev"
6,4,Meta,Product Owner,Yandex,Product Manager,"SQL, Python, AB-test, Figma, Prototyping, Deep Learning, People management, product management",,Being the Product Owner is an exciting opportunity to take a lead role in creating the roadmap for our product. It is my goal to ensure that our products align with our customers’ needs while keeping in mind the long-term goals of our company. I enjoy working with people and bringing new ideas to life.,"My goal is to change the way people interact with digital products by making them as intuitive and easy to use as possible. Having worked as Product Manager for more than four years now, I understand how important is the right product experience.",Meta is my company for the future because it is a place where I will be able to grow and develop my skills as a product manager. You have a great team of professionals that will help me to achieve my goals.,,0,1,0.9,0.9,0,,,,"Figma, Prototyping, UX/UI, Web-design, Mobile design, JTBD, CustDev, Java"
7,3,Goldman Sachs,Product Designer,J.P. Morgan,Product Designer,"Figma, Prototyping, UX/UI, Web-design, Mobile design",,"Over the past decade, I've helped drive design in many different industries and products, ranging from consumer apps, to enterprise platforms and even some of the most complex financial systems.","I work in a group at J.P Morgan focused on making their digital products easier to use for customers, for example by designing and creating mobile applications. I also worked as a UX designer on various projects and have been involved in all aspects of design from start to finish.","Goldman Sachs is my favorite investment bank. In this company, I hope to find an opportunity for growth, as well as an ideal working environment. You can see, that I consider it important to have a strong team around me, where I can learn new things and get involved in important projects.",,0,0.3,0.8,1,0,,,,"AB-tests, Figma, Canva, Google Ads, Facebook ads, SEO, Digital Marketing, Data Management, unit-economy"
8,3,Figma,Product Designer,Miro,Product Designer,"Figma, Prototyping, UX/UI, Web-design, Mobile design, JTBD, CustDev",,"Over the past 3 years I've worked on many different projects, ranging from small side projects to large enterprise solutions. In that time I have mastered the art of prototyping, developing beautiful user interfaces, and I understand the value of clear, concise, and easy to understand documentation.","I’m a talented, creative, self-motivated Product Designer with experience in designing user interfaces for desktop and mobile apps at Miro. I thrive in environments where I get to use the latest technology and design tools, while maintaining the highest levels of quality and productivity.","Figma is my number one choice because I believe that it will allow me to grow and develop my skills. Furthermore, this company has a great name, with a reputation for creating innovative products for users. And the culture is very supportive of those who come from outside the company and are looking for a new challenge. That's why I would like to join yo your team.",,0,0.7,0.7,1,0,,,,"Managing daily purchasing activities, supervising staff, and allocating tasks.
Managing supplier relations
Maintaining the supplier database, purchase records, and related documentation
Negotiations, 

Develops and implements a procurement strategy for the commodities they manage including competitive, technology direction, supplier analysis, development and selection and pricing strategy"
9,9,Opera,Product Designer,Miro,Product Designer,"Figma, Prototyping, UX/UI, Web-design, Mobile design, JTBD, CustDev, Java",,"In 2018, I joined Miro as a Product Designer. At first, I thought my job would be to make Miro look pretty, but I quickly learned that this wasn’t the case. The actual work was to build an ecosystem around Miro, using design to create a better user experience.","The project that I was working on at Miro was a completely new application for the mobile phone. The goal was to develop a new product that would use the new technologies that were coming into the market. I took this opportunity to learn new technology, learn how to use new tools, and learn about new trends in the mobile application development.","Opera is my favorite company as it is innovative, creative and fun. You can feel that you are part of a large family. Opera is a friendly place where everyone is happy to share their knowledge and experience. I hope to be a part of this community.",,0,0.8,0.8,1,0,,,,"HTML, CSS, JavaScript, TypeScript, Node.JS, REST API, Webpack, CI/CD"
10,5,Steam,Digital marketing specialist,Sony,Digital marketing specialist,"AB-tests, Figma, Canva, Google Ads, Facebook ads, SEO, Digital Marketing, Data Management, unit-economy",,"Over the past few years I have worked with various digital marketing projects and have gained experience in the following areas: Facebook Ads, Google Adwords, Product marketing, Email marketing, SEO and content marketing. Additionally, I possess the skills to create and maintain digital campaigns. I look forward to working with you in order to improve your digital marketing strategy.","On behalf of my employer, Sony, I am excited to share my experience in the field of digital marketing. As a digital marketing specialist, I was able to design and implement digital strategies that increased the sales of Sony products from different platforms.","In your company you will be able to grow your skills and also get experience in marketing strategy and digital marketing. In addition, you will have a chance to work on your own ideas and projects and get your ideas implemented in the company. At the same time, you will also work with the customers and help them solve their problems.",,0,1,0.8,0,0,,,,"HTML, CSS, JavaScript, TypeScript, Node.JS, REST API, Webpack, CI/CD, React.JS, GIT, GraphQL, Next. js, Angular, OOP"
